,targets_IBD,targets_nonIBD,killable_IBD,killable_nonIBD,fraction_IBD,fraction_nonIBD
Streptococcus_sp_I_P16,651,687,373,387,0.5729646697388633,0.5633187772925764
Alistipes_shahii_WAL_8301,37,134,33,110,0.8918918918918919,0.8208955223880597
Bacillus_endophyticus_2102,1374,1469,996,1024,0.7248908296943232,0.697072838665759
Corynebacterium_aurimucosum_ATCC_700975,731,771,428,402,0.585499316005472,0.5214007782101168
Atopobium_rimae_ATCC_49626,520,547,300,316,0.5769230769230769,0.5776965265082267
Erysipelotrichaceae_bacterium_sp_3_1_53,772,1055,629,752,0.8147668393782384,0.7127962085308057
Finegoldia_magna_ATCC_29328,428,506,237,268,0.5537383177570093,0.5296442687747036
Lactobacillus_rhamnosus_GG_ATCC_53103,851,737,586,526,0.6886016451233843,0.7137042062415196
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305,872,893,587,599,0.6731651376146789,0.6707726763717805
Listeria_monocytogenes_SLCC_2378,925,954,385,596,0.41621621621621624,0.6247379454926625
Subdoligranulum_variabile_DSM_15176,706,988,649,873,0.9192634560906515,0.8836032388663968
Streptococcus_thermophilus_LMG_18311,435,558,132,348,0.30344827586206896,0.6236559139784946
Fusobacterium_varium_ATCC_27725,363,782,299,515,0.8236914600550964,0.6585677749360613
Prevotella_ruminicola_23,568,645,393,439,0.6919014084507042,0.6806201550387597
Lactobacillus_gasseri_ATCC_33323,525,495,298,294,0.5676190476190476,0.593939393939394
Helicobacter_pullorum_MIT_98_5489,512,571,298,333,0.58203125,0.5831873905429071
Gemella_haemolysans_ATCC_10379,511,571,290,259,0.5675146771037182,0.45359019264448336
Bartonella_quintana_Toulouse,492,520,267,272,0.5426829268292683,0.5230769230769231
Bifidobacterium_dentium_ATCC_27678,491,222,314,170,0.639511201629328,0.7657657657657657
Afipia_birgiae_34632,1153,1221,837,917,0.7259323503902863,0.7510237510237511
Bifidobacterium_longum_NCC2705,162,549,121,330,0.7469135802469136,0.6010928961748634
Pseudoflavonifractor_capillosus_strain_ATCC_29799,223,427,182,329,0.8161434977578476,0.7704918032786885
Atopobium_parvulum_DSM_20469,473,507,261,274,0.5517970401691332,0.5404339250493096
Yersinia_frederiksenii_ATCC_33641,1286,1348,802,831,0.6236391912908242,0.6164688427299704
Bulleidia_extructa_W1219,386,425,176,199,0.45595854922279794,0.4682352941176471
Lactobacillus_mucosae_LM1,667,704,425,440,0.6371814092953523,0.625
Veillonella_parvula_Te3_DSM_2008,396,601,242,334,0.6111111111111112,0.5557404326123128
Bacteroides_clarus_YIT_12056,102,352,92,277,0.9019607843137255,0.7869318181818182
Lactobacillus_buchneri_ATCC_11577,836,855,549,547,0.6566985645933014,0.639766081871345
Edwardsiella_tarda_FL6_60,982,1084,673,464,0.685336048879837,0.4280442804428044
Staphylococcus_arlettae_CVD059,949,994,598,636,0.6301369863013698,0.6398390342052314
Enterococcus_faecalis_OG1RF_ATCC_47077,807,848,523,541,0.6480793060718711,0.6379716981132075
Clostridium_sticklandii_DSM_519,694,763,407,422,0.5864553314121037,0.5530799475753604
Eggerthella_sp_1_3_56FAA,219,447,182,339,0.8310502283105022,0.7583892617449665
Coprococcus_eutactus_ATCC_27759,160,388,118,259,0.7375,0.6675257731958762
Odoribacter_laneus_YIT_12061,137,788,121,502,0.8832116788321168,0.6370558375634517
Lactobacillus_rhamnosus_LMS2_1,803,686,340,500,0.42341220423412207,0.7288629737609329
Bacillus_halodurans_C_125,1111,1153,592,769,0.5328532853285328,0.6669557675628794
Gordonia_rubripertincta_NBRC_101908,1201,1263,844,711,0.7027477102414654,0.5629453681710214
Helicobacter_winghamensis_ATCC_BAA_430,530,567,272,294,0.5132075471698113,0.5185185185185185
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,482,597,339,396,0.7033195020746889,0.6633165829145728
Clostridium_symbiosum_WAL_14163,215,511,204,427,0.9488372093023256,0.8356164383561644
Fusobacterium_gonidiaformans_ATCC_25563,430,588,213,303,0.49534883720930234,0.5153061224489796
Laribacter_hongkongensis_HLHK9,780,853,451,478,0.5782051282051283,0.5603751465416178
Neisseria_mucosa_ATCC_25996,731,770,446,458,0.6101231190150479,0.5948051948051948
Veillonella_ratti_ACS_216_V_Col6b,720,766,449,463,0.6236111111111111,0.6044386422976501
Bacillus_vallismortis_DV1_F_3,1097,1145,838,871,0.763901549680948,0.7606986899563318
Neisseria_elongata_subsp_glycolytica_ATCC_29315,748,797,425,393,0.5681818181818182,0.493099121706399
Clostridium_sp_SY8519,583,685,384,424,0.6586620926243568,0.618978102189781
Lactobacillus_plantarum_WCFS1,916,934,542,557,0.5917030567685589,0.5963597430406852
Anaerotruncus_colihominis_DSM_17241,244,419,220,318,0.9016393442622951,0.7589498806682577
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143,655,754,394,452,0.601526717557252,0.5994694960212201
Clostridium_beijerinckii_NCIMB_8052,1096,1306,896,976,0.8175182481751825,0.7473200612557427
Bifidobacterium_animalis_lactis_BB_12,540,561,292,296,0.5407407407407407,0.5276292335115864
Lactobacillus_johnsonii_NCC_533,553,562,318,324,0.5750452079566004,0.5765124555160143
Bacteroides_sp_D1,42,381,38,317,0.9047619047619048,0.8320209973753281
Fusobacterium_nucleatum_subsp_animalis_3_1_33,496,618,301,373,0.6068548387096774,0.6035598705501618
Staphylococcus_xylosus_DMB3_Bh1,900,965,593,632,0.6588888888888889,0.6549222797927461
Brevibacillus_brevis_NBRC_100599,1323,1378,923,967,0.6976568405139834,0.7017416545718432
Paenibacillus_daejeonensis_DSM_15491,1251,1312,899,860,0.718625099920064,0.6554878048780488
Coprococcus_comes_ATCC_27758,111,513,95,398,0.8558558558558559,0.7758284600389863
Enterococcus_asini_ATCC_700915,792,844,524,559,0.6616161616161617,0.6623222748815166
Lactobacillus_fermentum_ATCC_14931,642,673,358,377,0.557632398753894,0.5601783060921248
Ralstonia_sp_5_7_47FAA,1104,1192,571,646,0.5172101449275363,0.5419463087248322
Fusobacterium_mortiferum_ATCC_9817,421,807,351,560,0.833729216152019,0.6939281288723668
Prevotella_disiens_FB035_09AN,404,510,261,285,0.6460396039603961,0.5588235294117647
Methylobacterium_populi_BJ001,1109,1174,741,822,0.6681695220919748,0.7001703577512777
Bifidobacterium_animalis_lactis_AD011,526,541,289,279,0.5494296577946768,0.5157116451016636
Bacteroides_sp_2_2_4,73,312,65,261,0.8904109589041096,0.8365384615384616
Clostridium_sporosphaeroides_DSM_1294,701,807,481,541,0.6861626248216833,0.6703841387856257
Ureaplasma_urealyticum_serovar_8_str_ATCC_27618,228,254,81,91,0.35526315789473684,0.35826771653543305
Paenibacillus_lactis_154,1248,1313,836,980,0.6698717948717948,0.7463823305407464
Fusobacterium_periodonticum_2_1_31,513,618,282,369,0.5497076023391813,0.5970873786407767
Tannerella_forsythia_ATCC_43037,530,618,306,338,0.5773584905660377,0.5469255663430421
Methylobacterium_radiotolerans_JCM_2831,1267,1346,855,60,0.6748224151539068,0.04457652303120357
Dialister_succinatiphilus_YIT_11850,643,698,278,230,0.432348367029549,0.32951289398280803
Bradyrhizobium_elkanii_USDA_76,1691,1771,1344,1296,0.794795978710822,0.7317899491812535
Listeria_grayi_DSM_20601,799,857,522,558,0.6533166458072591,0.6511085180863477
Roseburia_intestinalis_L1_82,21,230,20,197,0.9523809523809523,0.8565217391304348
Bacteroides_intestinalis_341_DSM_17393,66,213,65,166,0.9848484848484849,0.7793427230046949
Lactobacillus_amylovorus_GRL_1112,603,648,365,376,0.6053067993366501,0.5802469135802469
Enterococcus_hirae_ATCC_9790,785,837,92,521,0.11719745222929936,0.6224611708482676
Parvimonas_micra_ATCC_33270,171,185,58,66,0.3391812865497076,0.3567567567567568
Streptococcus_cristatus_ATCC_51100,623,660,376,400,0.6035313001605136,0.6060606060606061
Coprobacillus_sp_29_1,551,812,403,75,0.7313974591651543,0.09236453201970443
Listeria_monocytogenes_SLCC_7179,917,952,552,587,0.6019629225736096,0.6165966386554622
Eubacterium_ventriosum_ATCC_27560,99,403,82,275,0.8282828282828283,0.6823821339950372
Yersinia_kristensenii_ATCC_33638,1395,1449,837,817,0.6,0.5638371290545203
Fusobacterium_sp_4_8,492,613,259,322,0.5264227642276422,0.5252854812398042
Acinetobacter_junii_SH205,839,868,519,529,0.6185935637663885,0.6094470046082949
Prevotella_oralis_ATCC_33269,512,596,309,349,0.603515625,0.5855704697986577
Bifidobacterium_catenulatum_DSM_16992,443,535,273,316,0.6162528216704289,0.5906542056074766
Corynebacterium_amycolatum_SK46,708,742,241,485,0.3403954802259887,0.6536388140161725
Porphyromonas_endodontalis_ATCC_35406,487,528,259,262,0.5318275154004107,0.4962121212121212
Staphylococcus_warneri_SG1,886,932,585,607,0.6602708803611738,0.6512875536480687
Propionibacterium_avidum_44067,805,844,491,488,0.6099378881987577,0.5781990521327014
Prevotella_denticola_F0289,402,489,255,288,0.6343283582089553,0.588957055214724
Bacillus_atrophaeus_ATCC_49822_1,1144,1212,773,804,0.6756993006993007,0.6633663366336634
Bifidobacterium_animalis_lactis_CNCM_I_2494,564,577,309,315,0.5478723404255319,0.5459272097053726
Bacteroides_sp_1_1_30,28,328,23,271,0.8214285714285714,0.8262195121951219
Prevotella_buccae_ATCC_33574,175,604,129,353,0.7371428571428571,0.5844370860927153
Campylobacter_concisus_13826,276,514,148,234,0.5362318840579711,0.45525291828793774
Peptoniphilus_lacrimalis_DSM_7455,470,533,62,294,0.13191489361702127,0.551594746716698
Enterobacter_asburiae_LF7a,1157,1398,859,764,0.742437337942956,0.5464949928469242
Streptococcus_parauberis_KCTC_11537,701,742,465,476,0.6633380884450785,0.6415094339622641
Eggerthia_catenaformis_OT_569,523,614,333,314,0.6367112810707457,0.511400651465798
Bifidobacterium_gallicum_DSM_20093,521,559,309,318,0.5930902111324377,0.5688729874776386
Fusobacterium_necrophorum_D12,590,677,380,420,0.6440677966101694,0.620384047267356
Coprobacillus_sp_D7,451,791,354,488,0.7849223946784922,0.6169405815423514
Butyricicoccus_pullicaecorum_1_2,594,716,462,530,0.7777777777777778,0.7402234636871509
Clostridium_spiroforme_DSM_1552,198,520,128,286,0.6464646464646465,0.55
Fusobacterium_ulcerans_ATCC_49185,36,612,36,500,1.0,0.8169934640522876
Bilophila_wadsworthia_3_1_6,81,348,74,214,0.9135802469135802,0.6149425287356322
Acidaminococcus_sp_D21,140,421,114,279,0.8142857142857143,0.66270783847981
Bifidobacterium_longum_E18,178,567,133,331,0.7471910112359551,0.5837742504409171
Bifidobacterium_breve_UCC2003_NCIMB8807,234,466,178,296,0.7606837606837606,0.6351931330472103
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,1129,1225,767,766,0.6793622674933569,0.6253061224489795
Listeria_monocytogenes_4b_F2365,924,945,577,573,0.6244588744588745,0.6063492063492063
Fusobacterium_periodonticum_1_1_41FAA,541,617,234,298,0.43253234750462105,0.4829821717990275
Actinomyces_odontolyticus_ATCC_17982,584,631,331,368,0.5667808219178082,0.5832012678288431
Pediococcus_acidilactici_DSM_20284,641,590,385,366,0.6006240249609984,0.6203389830508474
Porphyromonas_somerae_DSM_23386,508,559,284,326,0.5590551181102362,0.5831842576028623
Clostridium_clostridioforme_CM201,239,906,226,755,0.9456066945606695,0.8333333333333334
Vibrio_mimicus_MB_451,1087,1127,512,747,0.47102115915363385,0.6628216503992902
Eubacterium_saphenum_ATCC_49989,372,406,177,190,0.47580645161290325,0.46798029556650245
Methylobacterium_mesophilicum_SR1_6_6,1295,1382,990,1045,0.7644787644787645,0.756150506512301
Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2,539,633,285,322,0.5287569573283859,0.5086887835703001
Kingella_oralis_ATCC_51147,639,671,122,125,0.19092331768388107,0.18628912071535023
Eubacterium_siraeum_DSM_15702,62,457,51,302,0.8225806451612904,0.6608315098468271
Capnocytophaga_ochracea_DSM_7271,548,579,307,312,0.5602189781021898,0.538860103626943
Streptococcus_uberis_0140J,681,722,440,473,0.6461086637298091,0.6551246537396122
Filifactor_alocis_ATCC_35896,463,510,250,258,0.5399568034557235,0.5058823529411764
Butyrivibrio_crossotus_DSM_2876,428,525,239,332,0.5584112149532711,0.6323809523809524
Porphyromonas_asaccharolytica_DSM_20707,407,505,249,294,0.6117936117936118,0.5821782178217821
Propionibacterium_propionicum_F0230a,803,849,540,574,0.6724782067247821,0.6760895170789164
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,731,757,475,435,0.6497948016415869,0.5746367239101717
Bacteroides_xylanisolvens_SD_CC_1b,55,366,51,304,0.9272727272727272,0.8306010928961749
Corynebacterium_ulcerans_809,716,747,269,231,0.3756983240223464,0.3092369477911647
Weissella_cibaria_KACC_11862,711,738,458,460,0.6441631504922645,0.6233062330623306
Streptococcus_mitis_NCTC_12261,643,689,422,450,0.656298600311042,0.6531204644412192
Bifidobacterium_breve_HPH0326,237,462,177,306,0.7468354430379747,0.6623376623376623
Bacillus_fordii_DSM_16014,1182,1237,692,604,0.5854483925549916,0.48827809215844786
Acinetobacter_johnsonii_SH046,918,955,626,607,0.681917211328976,0.6356020942408377
Capnocytophaga_sputigena_ATCC_33612,553,587,302,315,0.546112115732369,0.5366269165247018
Bacteroides_sp_D22,53,358,47,295,0.8867924528301887,0.8240223463687151
Lactococcus_garvieae_ATCC_49156,659,706,232,436,0.3520485584218513,0.6175637393767706
Bacteroides_oleiciplenus_YIT_12058,308,757,260,554,0.8441558441558441,0.7318361955085865
Campylobacter_upsaliensis_JV21,505,256,208,133,0.41188118811881186,0.51953125
Aerococcus_viridans_ATCC_11563,715,740,478,485,0.6685314685314685,0.6554054054054054
Gemella_morbillorum_M424,475,550,260,297,0.5473684210526316,0.54
Parabacteroides_goldsteinii_dnLKV18,634,875,507,120,0.7996845425867508,0.13714285714285715
Helicobacter_canadensis_MIT_98_5491,523,580,251,275,0.47992351816443596,0.47413793103448276
Bacteroides_caccae_ATCC_43185,33,164,30,136,0.9090909090909091,0.8292682926829268
Clostridium_sp_M62_1,156,378,141,281,0.9038461538461539,0.7433862433862434
Enterococcus_faecium_TX1330,725,805,503,542,0.6937931034482758,0.6732919254658385
Eubacterium_limosum_KIST612,826,945,583,668,0.7058111380145279,0.7068783068783069
Actinomyces_cardiffensis_F0333,615,641,377,382,0.6130081300813008,0.5959438377535101
Olsenella_uli_DSM_7084,586,667,400,435,0.6825938566552902,0.6521739130434783
Citrobacter_koseri_ATCC_BAA_895,1098,1309,800,918,0.7285974499089253,0.7012987012987013
Capnocytophaga_granulosa_ATCC_51502,538,578,304,313,0.5650557620817844,0.5415224913494809
Slackia_exigua_ATCC_700122,530,577,283,288,0.5339622641509434,0.49913344887348354
Enterococcus_faecalis_TX1322,835,889,278,633,0.332934131736527,0.7120359955005624
Mitsuokella_multacida_DSM_20544,711,789,484,507,0.680731364275668,0.6425855513307985
Bifidobacterium_pseudocatenulatum_DSM_20438,373,539,235,318,0.6300268096514745,0.5899814471243042
Vibrio_parahaemolyticus_RIMD_2210633,1171,1226,796,831,0.6797608881298036,0.6778140293637847
Kocuria_rhizophila_DC2201,772,811,458,429,0.5932642487046632,0.528976572133169
Lactococcus_raffinolactis_4877,775,828,427,534,0.5509677419354839,0.644927536231884
Bifidobacterium_longum_infantis_ATCC_15697,366,601,260,380,0.7103825136612022,0.632279534109817
Clostridium_hathewayi_12489931,405,783,374,681,0.9234567901234568,0.8697318007662835
Streptococcus_oralis_Uo5,614,661,367,387,0.5977198697068404,0.5854765506807866
Lactobacillus_hilgardii_ATCC_8290,803,821,535,541,0.6662515566625156,0.658952496954933
Streptococcus_agalactiae_A909,702,751,445,478,0.6339031339031339,0.6364846870838882
Clostridium_perfringens_ATCC_13124,297,760,234,481,0.7878787878787878,0.6328947368421053
Dialister_invisus_DSM_15470,164,299,121,206,0.7378048780487805,0.6889632107023411
Arcanobacterium_haemolyticum_DSM_20595,560,588,325,338,0.5803571428571429,0.5748299319727891
Listeria_monocytogenes_serotype_7_SLCC_2482,945,960,583,580,0.6169312169312169,0.6041666666666666
Porphyromonas_gingivalis_W83,475,533,206,253,0.4336842105263158,0.474671669793621
Veillonella_atypica_ACS_049_V_Sch6,492,643,330,368,0.6707317073170732,0.5723172628304821
Escherichia_coli_UTI89_UPEC,111,396,102,355,0.918918918918919,0.8964646464646465
Delftia_acidovorans_SPH_1,1233,1362,968,994,0.7850770478507705,0.7298091042584435
Stenotrophomonas_maltophilia_D457,925,986,352,595,0.38054054054054054,0.603448275862069
Bacteroides_sp_1_1_6,43,295,40,249,0.9302325581395349,0.8440677966101695
Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957,687,729,449,243,0.653566229985444,0.3333333333333333
Escherichia_sp_4_1_40B,233,876,216,633,0.927038626609442,0.7226027397260274
Bacteroides_sp_D2,131,427,123,349,0.9389312977099237,0.8173302107728337
Lactobacillus_pentosus_KCA1,925,947,598,632,0.6464864864864864,0.6673706441393875
Clostridium_botulinum_Bf,885,971,650,674,0.7344632768361582,0.694129763130793
Enterobacter_cancerogenus_ATCC_35316,1045,1297,826,889,0.7904306220095694,0.6854279105628374
Bacteroides_sp_3_2_5,46,105,42,91,0.9130434782608695,0.8666666666666667
Pseudomonas_alcaliphila_34,1156,1264,685,805,0.592560553633218,0.6368670886075949
Oxalobacter_formigenes_OXCC13,562,630,328,329,0.5836298932384342,0.5222222222222223
Bifidobacterium_animalis_lactis_Bi_07,562,582,309,299,0.5498220640569395,0.5137457044673539
Brevibacterium_massiliense_5401308,705,745,463,480,0.6567375886524822,0.6442953020134228
Bacteroides_ovatus_ATCC_8483,70,276,64,16,0.9142857142857143,0.057971014492753624
Bacteroides_fragilis_NCTC_9343,45,139,42,125,0.9333333333333333,0.8992805755395683
Arcobacter_butzleri_RM4018,588,670,233,268,0.39625850340136054,0.4
Eubacterium_eligens_ATCC_27750,97,420,80,309,0.8247422680412371,0.7357142857142858
Brachybacterium_paraconglomeratum_LC44,914,961,663,639,0.725382932166302,0.6649323621227887
Ruminococcus_torques_ATCC_27756,79,301,62,196,0.7848101265822784,0.6511627906976745
Rothia_mucilaginosa_DY_18,574,623,356,374,0.6202090592334495,0.6003210272873194
Staphylococcus_simulans_ACS_120_V_Sch1,912,962,603,491,0.6611842105263158,0.5103950103950103
Streptococcus_mutans_ATCC_25175,666,699,400,182,0.6006006006006006,0.2603719599427754
Campylobacter_rectus_RM3267,542,581,111,248,0.2047970479704797,0.4268502581755594
Rothia_dentocariosa_ATCC_17931,615,636,332,331,0.5398373983739837,0.5204402515723271
Bacillus_mycoides_DSM_2048,1246,1320,742,855,0.5955056179775281,0.6477272727272727
Streptococcus_intermedius_JTH08,629,647,397,402,0.6311605723370429,0.6213292117465224
Alistipes_indistinctus_YIT_12060,245,671,172,404,0.7020408163265306,0.6020864381520119
Parabacteroides_distasonis_ATCC_8503,54,169,53,151,0.9814814814814815,0.893491124260355
Paraprevotella_xylaniphila_YIT_11841,354,473,253,327,0.7146892655367232,0.6913319238900634
Bifidobacterium_longum_longum_BBMN68,174,566,128,312,0.735632183908046,0.5512367491166078
Lactobacillus_brevis_ATCC_367,647,663,381,390,0.58887171561051,0.5882352941176471
Blautia_hansenii_VPI_C7_24_DSM_20583,88,561,83,385,0.9431818181818182,0.6862745098039216
Bacillus_clausii_KSM_K16,1174,1224,796,636,0.6780238500851788,0.5196078431372549
Bifidobacterium_animalis_lactis_DSM_10140,560,580,286,291,0.5107142857142857,0.5017241379310344
Methyloversatilis_universalis_FAM5,838,895,543,505,0.6479713603818615,0.5642458100558659
Gordonia_terrae_NBRC_100016,1241,1304,903,941,0.7276390008058018,0.7216257668711656
Brevibacillus_borstelensis_AK1,1279,1336,875,780,0.6841282251759186,0.5838323353293413
Neisseria_cinerea_ATCC_14685,638,689,357,378,0.5595611285266457,0.548621190130624
Leuconostoc_gelidum_JB7,675,715,421,435,0.6237037037037036,0.6083916083916084
Prevotella_bivia_DSM_20514,445,527,274,306,0.6157303370786517,0.5806451612903226
Aeromonas_caviae_Ae398,1090,1162,681,747,0.6247706422018349,0.6428571428571429
Clostridium_innocuum_2959,541,946,474,688,0.8761552680221811,0.7272727272727273
Bacteroides_sp_2_1_33B,45,145,39,123,0.8666666666666667,0.8482758620689655
Bifidobacterium_longum_infantis_157F_NC,172,559,130,347,0.7558139534883721,0.6207513416815742
Veillonella_dispar_ATCC_17748,523,642,352,369,0.6730401529636711,0.5747663551401869
Eubacterium_dolichum_DSM_3991,471,563,320,352,0.6794055201698513,0.6252220248667851
Ruminococcus_gnavus_ATCC_29149,65,476,58,335,0.8923076923076924,0.7037815126050421
Bacteroides_sp_3_1_40A,26,86,24,77,0.9230769230769231,0.8953488372093024
Clostridium_symbiosum_WAL_14673,191,460,174,372,0.9109947643979057,0.808695652173913
Staphylococcus_lugdunensis_HKU09_01,859,914,517,538,0.6018626309662398,0.5886214442013129
Lactobacillus_johnsonii_DPC_6026,539,536,285,291,0.5287569573283859,0.542910447761194
Pediococcus_pentosaceus_ATCC_25745,619,653,362,369,0.5848142164781907,0.5650842266462481
Campylobacter_gracilis_RM3268,421,583,216,286,0.5130641330166271,0.49056603773584906
Mycobacterium_avium_subsp_avium_ATCC_25291,1000,1066,671,752,0.671,0.7054409005628518
Clostridium_bolteae_ATCC_BAA_613,254,624,237,518,0.9330708661417323,0.8301282051282052
Escherichia_sp_3_2_53FAA,103,414,92,367,0.8932038834951457,0.8864734299516909
Scardovia_inopinata_F0304,510,534,296,308,0.5803921568627451,0.5767790262172284
Actinomyces_urogenitalis_DSM_15434,683,729,442,464,0.6471449487554904,0.6364883401920439
Escherichia_coli_str_K_12_substr_MG1655,216,882,204,735,0.9444444444444444,0.8333333333333334
Melainabacterium_MEL_A1,332,471,183,218,0.5512048192771084,0.46284501061571126
Pseudomonas_aeruginosa_NCGM2_S1,1054,1300,532,738,0.5047438330170778,0.5676923076923077
Bacteroides_coprophilus_DSM_18228,436,649,298,406,0.6834862385321101,0.6255778120184899
Actinobacillus_pleuropneumoniae_L20,775,835,450,484,0.5806451612903226,0.5796407185628742
Paenibacillus_alvei_DSM_29,1350,1409,798,824,0.5911111111111111,0.5848119233498935
Eikenella_corrodens_ATCC_23834,515,642,222,331,0.43106796116504853,0.5155763239875389
Campylobacter_jejuni_jejuni_81_176,537,574,264,286,0.49162011173184356,0.49825783972125437
Clostridium_clariflavum_DSM_19732,756,836,520,572,0.6878306878306878,0.6842105263157895
Escherichia_coli_SE11,219,877,208,679,0.9497716894977168,0.774230330672748
Ochrobactrum_anthropi_ATCC_49188,1193,1247,789,858,0.6613579212070411,0.6880513231756215
Varibaculum_cambriense_DSM_15806,595,607,341,344,0.573109243697479,0.5667215815485996
Micromonospora_aurantiaca_ATCC_27029,1160,1258,834,829,0.7189655172413794,0.6589825119236884
Clostridium_hylemonae_DSM_15053,687,885,531,586,0.7729257641921398,0.6621468926553672
Lactobacillus_plantarum_JDM1,908,917,589,594,0.6486784140969163,0.6477644492911668
Escherichia_coli_O157_H7_str_Sakai,230,894,222,720,0.9652173913043478,0.8053691275167785
Ruminococcus_bicirculans_80_3,211,497,138,282,0.6540284360189573,0.5674044265593562
Alistipes_onderdonkii_DSM_19147,43,165,37,120,0.8604651162790697,0.7272727272727273
Bacillus_cereus_G9842,1207,1287,768,848,0.6362883181441591,0.6588966588966589
Lysinibacillus_fusiformis_ZB2,1094,1144,746,706,0.6819012797074955,0.6171328671328671
Micrococcus_luteus_NCTC_2665,702,745,353,421,0.5028490028490028,0.5651006711409396
Akkermansia_muciniphila_ATCC_BAA_835,48,191,34,130,0.7083333333333334,0.680628272251309
Enterococcus_avium_ATCC_14025,1219,1282,782,739,0.6415094339622641,0.5764430577223089
Mycobacterium_fortuitum_subsp_fortuitum_DSM_46621,1302,1355,1023,1002,0.7857142857142857,0.7394833948339483
Clostridium_sp_7_2_43FAA,617,839,465,617,0.7536466774716369,0.735399284862932
Bacillus_cereus_AH187_F4810_72,1210,1285,861,813,0.7115702479338843,0.6326848249027237
Citrobacter_youngae_ATCC_29220,1108,1358,786,969,0.7093862815884476,0.7135493372606775
Listeria_monocytogenes_Finland_1988,933,952,597,603,0.639871382636656,0.6334033613445378
Corynebacterium_ammoniagenes_DSM_20306,791,820,477,489,0.6030341340075853,0.5963414634146341
Listeria_monocytogenes_FSL_R2_561,927,953,608,603,0.6558791801510249,0.6327387198321092
Campylobacter_jejuni_jejuni_NCTC_11168,554,593,274,302,0.49458483754512633,0.5092748735244519
Fusobacterium_nucleatum_subsp_vincentii_4_1_13,530,621,318,327,0.6,0.5265700483091788
Butyricimonas_synergistica_DSM_23225,461,600,341,408,0.7396963123644251,0.68
Staphylococcus_hominis_subsp_hominis_C80,819,865,482,502,0.5885225885225885,0.5803468208092486
Bacteroides_sp_4_3_47FAA,22,75,20,69,0.9090909090909091,0.92
Tropheryma_whipplei_str_Twist,401,415,162,161,0.40399002493765584,0.38795180722891565
Abiotrophia_defectiva_ATCC_49176,496,559,301,314,0.6068548387096774,0.5617173524150268
Lactobacillus_oris_F0423,690,715,260,450,0.37681159420289856,0.6293706293706294
Bacteroides_coprocola_M16_DSM_17136,44,629,42,402,0.9545454545454546,0.6391096979332274
Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305,901,959,607,520,0.6736958934517203,0.5422314911366006
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842,641,647,369,375,0.5756630265210608,0.5795981452859351
Anaerostipes_sp_3_2_56FAA,812,1016,479,557,0.5899014778325123,0.5482283464566929
Staphylococcus_capitis_QN1,884,918,554,548,0.6266968325791855,0.5969498910675382
Collinsella_tanakaei_YIT_12063,267,738,216,487,0.8089887640449438,0.6598915989159891
